Num,Province/State,Country/Region,Lat,Long
1,All,Thailand,15,101
2,All,Japan,36,138
3,All,Singapore,1.2833,103.8333
4,All,Nepal,28.1667,84.25
5,All,Malaysia,2.5,112.5
6,British Columbia,Canada,49.2827,-123.1207
7,New South Wales,Australia,-33.8688,151.2093
8,Victoria,Australia,-37.8136,144.9631
9,Queensland,Australia,-28.0167,153.4
10,All,Cambodia,11.55,104.9167
11,All,Sri Lanka,7,81
12,All,Germany,51,9
13,All,Finland,64,26
14,All,United Arab Emirates,24,54
15,All,Philippines,13,122
16,All,India,21,78
17,All,Italy,43,12
18,All,Sweden,63,16
19,All,Spain,40,-4
20,South Australia,Australia,-34.9285,138.6007
21,All,Belgium,50.8333,4
22,All,Egypt,26,30
23,From Diamond Princess,Australia,35.4437,139.638
24,All,Lebanon,33.8547,35.8623
25,All,Iraq,33,44
26,All,Oman,21,57
27,All,Afghanistan,33,65
28,All,Bahrain,26.0275,50.55
29,All,Kuwait,29.5,47.75
30,All,Algeria,28.0339,1.6596
31,All,Croatia,45.1,15.2
32,All,Switzerland,46.8182,8.2275
33,All,Austria,47.5162,14.5501
34,All,Israel,31,35
35,All,Pakistan,30.3753,69.3451
36,All,Brazil,-14.235,-51.9253
37,All,Georgia,42.3154,43.3569
38,All,Greece,39.0742,21.8243
39,All,North Macedonia,41.6086,21.7453
40,All,Norway,60.472,8.4689
41,All,Romania,45.9432,24.9668
42,All,Estonia,58.5953,25.0136
43,All,San Marino,43.9424,12.4578
44,All,Belarus,53.7098,27.9534
45,All,Iceland,64.9631,-19.0208
46,All,Lithuania,55.1694,23.8813
47,All,Mexico,23.6345,-102.5528
48,All,New Zealand,-40.9006,174.886
49,All,Nigeria,9.082,8.6753
50,Western Australia,Australia,-31.9505,115.8605
51,All,Ireland,53.1424,-7.6921
52,All,Luxembourg,49.8153,6.1296
53,All,Monaco,43.7333,7.4167
54,All,Qatar,25.3548,51.1839
55,All,Ecuador,-1.8312,-78.1834
56,All,Azerbaijan,40.1431,47.5769
57,All,Armenia,40.0691,45.0382
58,All,Dominican Republic,18.7357,-70.1627
59,All,Indonesia,-0.7893,113.9213
60,All,Portugal,39.3999,-8.2245
61,All,Andorra,42.5063,1.5218
62,Tasmania,Australia,-41.4545,145.9707
63,All,Latvia,56.8796,24.6032
64,All,Morocco,31.7917,-7.0926
65,All,Saudi Arabia,24,45
66,All,Senegal,14.4974,-14.4524
67,All,Argentina,-38.4161,-63.6167
68,All,Chile,-35.6751,-71.543
69,All,Jordan,31.24,36.51
70,All,Ukraine,48.3794,31.1656
71,All,Hungary,47.1625,19.5033
72,Northern Territory,Australia,-12.4634,130.8456
73,All,Liechtenstein,47.14,9.55
74,All,Poland,51.9194,19.1451
75,All,Tunisia,34,9
76,All,Bosnia and Herzegovina,43.9159,17.6791
77,All,Slovenia,46.1512,14.9955
78,All,South Africa,-30.5595,22.9375
79,All,Bhutan,27.5142,90.4336
80,All,Cameroon,3.848,11.5021
81,All,Colombia,4.5709,-74.2973
82,All,Costa Rica,9.7489,-83.7534
83,All,Peru,-9.19,-75.0152
84,All,Serbia,44.0165,21.0059
85,All,Slovakia,48.669,19.699
86,All,Togo,8.6195,0.8248
87,All,Malta,35.9375,14.3754
88,All,Martinique,14.6415,-61.0242
89,All,Bulgaria,42.7339,25.4858
90,All,Maldives,3.2028,73.2207
91,All,Bangladesh,23.685,90.3563
92,All,Paraguay,-23.4425,-58.4438
93,Ontario,Canada,51.2538,-85.3232
94,Alberta,Canada,53.9333,-116.5765
95,Quebec,Canada,52.9399,-73.5491
96,All,Albania,41.1533,20.1683
97,All,Cyprus,35.1264,33.4299
98,All,Brunei,4.5353,114.7277
99,Washington,US,47.4009,-121.4905
100,New York,US,42.1657,-74.9481
101,California,US,36.1162,-119.6816
102,Massachusetts,US,42.2302,-71.5301
103,Diamond Princess,US,35.4437,139.638
104,Grand Princess,US,37.6489,-122.6655
105,Georgia,US,33.0406,-83.6431
106,Colorado,US,39.0598,-105.3111
107,Florida,US,27.7663,-81.6868
108,New Jersey,US,40.2989,-74.521
109,Oregon,US,44.572,-122.0709
110,Texas,US,31.0545,-97.5635
111,Illinois,US,40.3495,-88.9861
112,Pennsylvania,US,40.5908,-77.2098
113,Iowa,US,42.0115,-93.2105
114,Maryland,US,39.0639,-76.8021
115,North Carolina,US,35.6301,-79.8064
116,South Carolina,US,33.8569,-80.945
117,Tennessee,US,35.7478,-86.6923
118,Virginia,US,37.7693,-78.17
119,Arizona,US,33.7298,-111.4312
120,Indiana,US,39.8494,-86.2583
121,Kentucky,US,37.6681,-84.6701
122,District of Columbia,US,38.8974,-77.0268
123,Nevada,US,38.3135,-117.0554
124,New Hampshire,US,43.4525,-71.5639
125,Minnesota,US,45.6945,-93.9002
126,Nebraska,US,41.1254,-98.2681
127,Ohio,US,40.3888,-82.7649
128,Rhode Island,US,41.6809,-71.5118
129,Wisconsin,US,44.2685,-89.6165
